time quantity 
0.16688 8.1616e-06
0.16819 8.4589e-06
0.16949 8.4205e-06
0.1708 8.1621e-06
0.1721 7.9976e-06
0.1734 8.0366e-06
0.17471 8.1625e-06
0.17601 8.3071e-06
0.17731 8.4835e-06
0.17862 8.6135e-06
0.17992 8.5584e-06
0.18123 8.3477e-06
0.18253 8.2227e-06
0.18383 8.3365e-06
0.18514 8.5193e-06
0.18644 8.527e-06
0.18774 8.3812e-06
0.18905 8.3257e-06
0.19035 8.4721e-06
0.19166 8.6498e-06
0.19296 8.6783e-06
0.19426 8.5874e-06
0.19557 8.5041e-06
0.19687 8.4489e-06
0.19817 8.3785e-06
0.19948 8.3603e-06
0.20078 8.5144e-06
0.20209 8.7702e-06
0.20339 8.8843e-06
0.20469 8.7412e-06
0.206 8.5135e-06
0.2073 8.4638e-06
0.2086 8.6105e-06
0.20991 8.7422e-06
0.21121 8.7332e-06
0.21252 8.6721e-06
0.21382 8.7007e-06
0.21512 8.8328e-06
0.21643 8.9774e-06
0.21773 9.0503e-06
0.21904 9.0086e-06
0.22034 8.8627e-06
0.22164 8.7205e-06
0.22295 8.7501e-06
0.22425 8.995e-06
0.22555 9.2816e-06
0.22686 9.3981e-06
0.22816 9.3047e-06
0.22947 9.136e-06
0.23077 9.0411e-06
0.23207 9.0625e-06
0.23338 9.1639e-06
0.23468 9.2933e-06
0.23598 9.3908e-06
0.23729 9.4151e-06
0.23859 9.4006e-06
0.2399 9.4262e-06
0.2412 9.4868e-06
0.2425 9.4725e-06
0.24381 9.3396e-06
0.24511 9.239e-06
0.24641 9.3656e-06
0.24772 9.6706e-06
0.24902 9.8806e-06
0.25033 9.8121e-06
0.25163 9.5575e-06
0.25293 9.377e-06
0.25424 9.4297e-06
0.25554 9.6498e-06
0.25684 9.8811e-06
0.25815 1.0021e-05
0.25945 1.0035e-05
0.26076 9.9393e-06
0.26206 9.8197e-06
0.26336 9.7967e-06
0.26467 9.9155e-06
0.26597 1.0085e-05
0.26728 1.0179e-05
0.26858 1.0182e-05
0.26988 1.0195e-05
0.27119 1.0277e-05
0.27249 1.0344e-05
0.27379 1.0262e-05
0.2751 1.0044e-05
0.2764 9.893e-06
0.27771 9.9913e-06
0.27901 1.0265e-05
0.28031 1.0459e-05
0.28162 1.0406e-05
0.28292 1.0165e-05
0.28422 9.9385e-06
0.28553 9.8942e-06
0.28683 1.0038e-05
0.28814 1.0226e-05
0.28944 1.0275e-05
0.29074 1.0113e-05
0.29205 9.8802e-06
0.29335 9.8549e-06
0.29465 1.0145e-05
0.29596 1.0514e-05
0.29726 1.0638e-05
0.29857 1.0445e-05
0.29987 1.0157e-05
0.30117 1.0038e-05
0.30248 1.0128e-05
0.30378 1.029e-05
